vPHOS,vTP,iTCO2,Carotenoids_whole_blood,vUA,iGlu,vCK,iHct,iCl,iNa,iAnGap,vGLU,iK,iHb,vGLOB,vK,vAST,vALB,vCA,vNA,Age,FH
2.2,2.7,17.0,0.09,4.5,261.0,2283.0,19.0,112.0,147.0,25.0,253.0,5.9,6.5,1.1,7.6,190.0,1.5,12.2,153.0,26.0,0.0
1.5,3.1,24.0,0.51,4.2,234.0,5229.0,19.0,112.0,141.0,14.0,240.0,7.9,6.5,1.2,7.94,301.0,1.9,11.1,152.0,41.0,0.0
6.5,2.6,22.0,0.97,1.2,215.0,3321.0,20.0,114.0,142.0,14.0,223.0,6.5,6.8,0.9,7.4,182.0,1.8,11.4,153.0,19.0,0.0
5.3,3.3,28.0,2.25,2.8,229.0,5969.0,22.0,104.0,140.0,14.0,229.0,5.1,7.5,1.2,7.6,244.0,2.0,10.9,146.0,40.0,0.0
7.1,2.5,22.0,0.359730071,7.1,233.0,1570.0,19.8,105.0,136.0,15.0,240.0,5.7,6.720000000000001,0.8,7.6,252.0,1.7,13.4,145.0,10.0,0.0
6.0,2.9,27.0,1.32,6.9,248.0,2569.0,21.0,108.0,144.0,16.0,255.0,5.3,7.1,0.9,5.9,150.0,2.0,11.4,151.0,21.0,0.0
6.5,3.2,24.0,0.8776925640000001,1.6,227.0,4506.6,17.0,122.0,146.0,7.0,228.0,6.3,5.8,0.6,7.8,234.0,2.5,11.4,154.0,26.0,0.0
5.5,3.0,21.0,2.382754978,2.4,231.0,4576.0,21.0,117.0,146.0,15.0,229.0,4.8,7.1,1.0,5.9,214.0,2.1,11.0,148.0,26.0,0.0
6.6,3.0,29.0,1.41,7.9,187.0,2990.4,23.0,107.0,147.0,18.0,185.0,6.5,7.8,0.8,6.459999999999999,291.0,2.3,11.7,159.0,29.0,0.0
6.9,3.2,27.0,0.960826173,2.3,250.0,4933.4,24.0,108.0,145.0,17.0,256.0,6.4,8.2,1.2,7.58,235.0,2.0,11.6,154.0,42.0,0.0
6.1,3.0,27.0,1.16,12.8,216.0,5016.4,21.0,109.0,148.0,19.0,212.0,5.6,7.1,1.2,6.7,243.0,1.8,11.3,154.0,35.0,0.0
6.540000000000001,3.7,23.0,0.5,15.7,128.0,5626.0,24.0,109.0,150.0,24.0,109.0,5.0,8.2,2.4,7.8,1236.0,1.3,9.2,155.0,34.0,0.0
6.2,2.2,25.0,4.75,12.4,154.0,1284.0,15.0,104.0,137.0,14.0,164.0,5.6,5.1,0.5,6.0,195.0,1.6,10.1,146.0,6.0,0.0
4.9,3.0,26.0,0.34,5.2,211.0,3312.4,27.0,110.0,141.0,12.0,214.0,5.7,9.2,1.0,8.0,226.0,2.0,11.0,152.0,26.0,0.0
3.4,3.5,24.0,0.72,3.4,312.0,4846.0,26.0,109.0,147.0,21.0,312.0,6.2,8.8,1.5,7.4,182.0,2.1,13.3,157.0,35.0,0.0
6.1,3.1,24.0,0.82,8.7,259.0,2353.0,25.0,117.0,156.0,23.0,258.0,6.0,8.5,1.0,7.4,235.0,2.1,12.7,162.0,28.0,0.0
6.9,3.7,24.0,3.07,5.0,256.0,3547.2,25.0,110.0,147.0,19.0,258.0,4.7,8.5,1.3,5.96,398.0,2.4,11.5,154.0,42.0,1.0
5.3,3.1,31.0,1.35,3.8,249.0,420.0,17.0,99.0,136.0,12.0,254.0,4.4,5.8,1.7,4.5,136.0,1.4,9.9,145.0,15.0,0.0
8.4,3.0,31.0,1.247336354,7.6,248.0,4686.2,20.0,108.0,145.0,12.0,257.0,4.8,6.8,0.9,7.340000000000001,312.0,2.1,12.2,150.0,22.0,0.0
5.8,3.4,17.0,1.44,11.2,324.0,2459.0,21.0,109.0,137.0,18.0,329.0,6.1,7.1,1.0,7.3,174.0,2.4,10.8,147.0,16.0,0.0
6.5,2.5,29.0,0.132200625,6.4,277.0,7157.0,16.0,106.0,141.0,12.0,297.0,5.2,5.4,0.8,7.68,233.0,1.7,12.2,151.0,16.0,0.0
6.3,3.6,31.0,0.397038306,18.2,238.0,3411.0,19.0,111.0,143.0,8.0,285.0,6.0,6.5,2.0,7.7,369.0,1.6,11.4,143.0,22.0,0.0
7.5,3.0,29.0,2.92,7.3,229.0,3075.0,24.0,109.0,144.0,13.0,242.0,5.9,8.2,0.7,7.2,172.0,2.3,11.8,154.0,27.0,0.0
8.4,3.8,28.0,0.3783073979999999,7.4,232.0,3534.6,22.0,112.0,142.0,10.0,236.0,7.3,7.480000000000001,1.4,5.220000000000001,538.0,2.4,12.3,150.0,22.0,1.0
6.9,2.6,25.0,1.05,7.3,208.0,4392.0,23.0,106.0,141.0,16.0,213.0,5.0,7.8,0.6,6.2,199.0,1.9,12.6,148.0,10.0,0.0
6.9,2.5,28.0,0.53,8.3,219.0,3130.0,20.0,111.0,145.0,12.0,230.0,5.5,6.8,0.7,7.2,192.0,1.8,11.5,153.0,10.0,0.0
6.2,2.6,22.0,0.03,4.3,266.0,6280.0,20.0,107.0,142.0,20.0,271.0,5.6,6.8,1.1,6.6,193.0,1.5,11.8,151.0,21.0,0.0
6.9,3.9,24.0,0.703477225,4.2,240.0,5063.6,21.0,111.0,144.0,16.0,246.0,5.6,7.1,1.7,7.8,252.0,2.2,12.2,149.0,42.0,0.0
8.4,3.5,25.0,0.025586901,4.4,250.0,5032.0,18.0,108.0,139.0,12.0,316.0,5.4,6.1,1.6,7.659999999999999,291.0,1.9,14.0,156.8,29.0,0.0
4.9,3.0,19.0,0.24,3.7,307.0,995.0,20.0,110.0,147.0,25.0,297.0,5.8,6.8,1.5,6.7,199.0,1.5,11.7,151.0,26.0,0.0
6.5,3.2,24.0,0.41,1.4,227.0,2121.0,20.0,110.0,143.0,16.0,241.0,5.0,6.8,1.4,6.5,199.0,1.8,10.5,149.0,24.0,0.0
6.4,3.6,31.0,0.6964315590000001,6.9,252.0,2943.0,23.0,110.0,143.0,8.0,262.0,5.0,7.8,1.4,6.2,189.0,2.2,12.1,152.0,22.0,0.0
6.7,2.8,21.0,0.900160593,2.1,238.0,1576.0,19.0,114.0,146.0,17.0,263.0,4.4,6.5,0.6,5.3,215.0,2.2,12.0,159.0,16.0,0.0
7.1,3.1,21.0,0.95,6.7,228.0,4074.0,21.0,109.0,140.0,17.0,237.0,5.7,7.1,1.3,7.1,179.0,1.7,11.7,151.0,33.0,0.0
7.1,3.3,29.0,0.95318325,6.2,251.0,3556.6,19.0,108.0,142.0,12.0,250.0,6.0,6.5,1.4,7.9,216.0,1.9,11.7,151.0,23.0,0.0
2.7,3.2,25.0,0.56,10.6,262.0,1769.0,22.0,107.0,140.0,14.0,277.0,4.9,7.5,0.8,6.0,233.0,2.4,13.8,147.0,12.0,0.0
7.0,3.5,27.0,2.45,2.6,284.0,4428.2,21.0,108.0,143.0,15.0,289.0,5.0,7.1,1.3,8.4,341.0,2.2,11.8,151.0,42.0,0.0
5.1,2.6,20.0,2.13,2.2,222.0,757.0,20.0,108.0,141.0,19.0,223.0,4.9,6.8,0.7,5.6,180.0,1.9,10.6,147.0,5.0,0.0
2.4,2.6,23.0,0.73,1.8,289.0,4287.8,19.0,109.0,144.0,19.0,291.0,6.0,6.5,1.1,8.5,193.0,1.6,11.0,155.0,35.0,0.0
7.4,2.4,23.0,1.0,4.7,197.0,988.0,16.0,108.0,137.0,13.0,204.0,5.2,5.4,0.7,5.9,162.0,1.8,11.6,146.0,9.0,0.0
5.1,2.8,34.0,0.47,5.2,249.0,1341.0,23.0,98.0,142.0,15.0,262.0,4.5,7.8,0.8,5.5,195.0,2.0,11.3,147.0,15.0,0.0
6.5,3.9,18.0,2.6,6.3,238.0,5724.6,23.0,116.0,150.0,21.0,237.0,4.9,7.8,1.6,8.3,295.0,2.3,13.1,156.0,34.0,0.0
6.8,2.7,25.0,0.3,1.4,266.0,715.0,20.0,109.0,145.0,17.0,287.0,4.9,6.8,0.8,5.7,183.0,1.9,12.1,157.0,21.0,0.0
4.8,3.3,23.0,0.47,1.1,231.0,5122.4,16.0,112.0,146.0,17.0,240.0,5.4,5.4,1.4,8.3,271.0,2.0,11.0,155.0,43.0,0.0
6.6,3.6,29.0,3.7468,7.7,237.0,6786.0,24.0,111.0,143.0,10.0,243.0,6.1,8.2,1.1,8.3,236.0,2.5,12.4,159.0,43.0,0.0
6.1,3.5,21.0,1.14,11.7,246.0,2271.0,26.0,113.0,143.0,15.0,249.0,5.6,8.8,1.2,6.6,172.0,2.3,12.3,149.0,16.0,0.0
5.6,2.9,27.0,0.36,8.6,168.0,3584.0,21.0,109.0,143.0,14.0,167.0,6.0,7.1,1.0,7.3,226.0,1.9,11.6,151.0,26.0,0.0
6.4,3.1,27.0,0.703477225,3.2,242.0,5945.0,19.0,112.0,150.0,16.0,241.0,4.9,6.5,1.0,8.0,242.0,2.1,11.2,154.0,42.0,0.0
6.8,3.2,26.0,1.2,7.0,273.0,4991.0,22.0,109.0,144.0,15.0,281.0,5.4,7.5,1.1,7.2,208.0,2.2,13.5,153.0,26.0,0.0
5.5,3.1,26.0,2.53,5.0,207.0,4358.0,20.0,108.0,144.0,15.0,217.0,4.7,6.8,0.9,5.5,183.0,2.2,11.5,156.0,27.0,0.0
7.0,3.0,20.0,0.65,9.4,284.0,2734.0,21.0,108.0,142.0,20.0,293.0,5.8,7.1,1.1,6.5,174.0,1.9,12.8,151.0,22.0,0.0
